threshold,metric_accuracy_val,metric_macro_f1_val,metric_bot_precision_val,metric_bot_recall_val,metric_accuracy_test,metric_macro_f1_test,metric_bot_precision_test,metric_bot_recall_test
0.05,0.36666666666666664,0.2682926829268293,0.36666666666666664,1.0,0.3333333333333333,0.25,0.3333333333333333,1.0
0.1,0.36666666666666664,0.2682926829268293,0.36666666666666664,1.0,0.3333333333333333,0.25,0.3333333333333333,1.0
0.15,0.36666666666666664,0.2682926829268293,0.36666666666666664,1.0,0.3333333333333333,0.25,0.3333333333333333,1.0
0.2,0.36666666666666664,0.2682926829268293,0.36666666666666664,1.0,0.3333333333333333,0.25,0.3333333333333333,1.0
0.25,0.36666666666666664,0.2682926829268293,0.36666666666666664,1.0,0.4,0.354066985645933,0.35714285714285715,1.0
0.3,0.5,0.4712103407755582,0.4230769230769231,1.0,0.4666666666666667,0.4570135746606335,0.375,0.9
0.35,0.6666666666666666,0.6651785714285714,0.5238095238095238,1.0,0.5666666666666667,0.5661846496106786,0.42105263157894735,0.8
0.39999999999999997,0.8,0.7963800904977376,0.6666666666666666,0.9090909090909091,0.7,0.6914285714285715,0.5333333333333333,0.8
0.44999999999999996,0.8333333333333334,0.8285714285714285,0.7142857142857143,0.9090909090909091,0.6666666666666666,0.625,0.5,0.5
0.49999999999999994,0.7,0.6306429548563611,0.6666666666666666,0.36363636363636365,0.5666666666666667,0.4222222222222222,0.2,0.1
0.5499999999999999,0.6333333333333333,0.45990180032733224,0.5,0.09090909090909091,0.6333333333333333,0.3877551020408163,0.0,0.0
0.6,0.6333333333333333,0.3877551020408163,0.0,0.0,0.6666666666666666,0.4,0.0,0.0
0.65,0.6333333333333333,0.3877551020408163,0.0,0.0,0.6666666666666666,0.4,0.0,0.0
0.7,0.6333333333333333,0.3877551020408163,0.0,0.0,0.6666666666666666,0.4,0.0,0.0
0.75,0.6333333333333333,0.3877551020408163,0.0,0.0,0.6666666666666666,0.4,0.0,0.0
0.7999999999999999,0.6333333333333333,0.3877551020408163,0.0,0.0,0.6666666666666666,0.4,0.0,0.0
0.85,0.6333333333333333,0.3877551020408163,0.0,0.0,0.6666666666666666,0.4,0.0,0.0
0.9,0.6333333333333333,0.3877551020408163,0.0,0.0,0.6666666666666666,0.4,0.0,0.0
0.95,0.6333333333333333,0.3877551020408163,0.0,0.0,0.6666666666666666,0.4,0.0,0.0
